person,personLabel,value,valueLabel,Born,Pa
http://www.wikidata.org/entity/Q106641948,Q106641948,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1959-08-08T00:00:00Z,http://www.wikidata.org/entity/Q106670161
http://www.wikidata.org/entity/Q28946878,Pawel Andrejewitsch Worobjow,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1958-04-25T00:00:00Z,http://www.wikidata.org/entity/Q4125129
http://www.wikidata.org/entity/Q4681651,Adelaida Avagyan,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1924-04-06T00:00:00Z,http://www.wikidata.org/entity/Q27537053
http://www.wikidata.org/entity/Q15207627,Vladimir Mendelevich,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1956-12-05T00:00:00Z,http://www.wikidata.org/entity/Q55809205
http://www.wikidata.org/entity/Q22137527,Q22137527,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1876-11-19T00:00:00Z,http://www.wikidata.org/entity/Q107191146
http://www.wikidata.org/entity/Q12109002,Inga Kassjanenko,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1924-12-29T00:00:00Z,http://www.wikidata.org/entity/Q12109006
http://www.wikidata.org/entity/Q66689701,Marina Aghajanyan,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1946-07-03T00:00:00Z,http://www.wikidata.org/entity/Q22226801
http://www.wikidata.org/entity/Q13052147,Ararat Aghassyan,http://www.wikidata.org/entity/Q17281180,Doktor Nauk in History of art,1956-08-11T00:00:00Z,http://www.wikidata.org/entity/Q27914510
http://www.wikidata.org/entity/Q97168193,Maryana Lysenko,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1970-02-26T00:00:00Z,http://www.wikidata.org/entity/Q4270654
http://www.wikidata.org/entity/Q6535790,Levon Chookaszian,http://www.wikidata.org/entity/Q17281180,Doktor Nauk in History of art,1952-04-09T00:00:00Z,http://www.wikidata.org/entity/Q26197004
http://www.wikidata.org/entity/Q15089037,Aza Rəhmanova,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1932-09-17T00:00:00Z,http://www.wikidata.org/entity/Q47010422
http://www.wikidata.org/entity/Q96023290,Yulia Galliamova,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1969-02-26T00:00:00Z,http://www.wikidata.org/entity/Q96036926
http://www.wikidata.org/entity/Q4231931,Maxim Konchalovsky,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1875-10-13T00:00:00Z,http://www.wikidata.org/entity/Q4231929
http://www.wikidata.org/entity/Q97183672,Q97183672,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1982-09-25T00:00:00Z,http://www.wikidata.org/entity/Q26985947
http://www.wikidata.org/entity/Q23019271,Lydia Gimoyan,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1947-08-26T00:00:00Z,http://www.wikidata.org/entity/Q26703522
http://www.wikidata.org/entity/Q9293132,Hleb Bahdanowitsch,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1913-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3920424
http://www.wikidata.org/entity/Q28584513,Hmayak Sisakyan,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1969-05-13T00:00:00Z,http://www.wikidata.org/entity/Q28584614
http://www.wikidata.org/entity/Q96023290,Yulia Galliamova,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1969-01-01T00:00:00Z,http://www.wikidata.org/entity/Q96036926
http://www.wikidata.org/entity/Q22665472,Q22665472,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1956-04-09T00:00:00Z,http://www.wikidata.org/entity/Q22665471
http://www.wikidata.org/entity/Q12078256,Serhij Andrejtschyn,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1963-09-26T00:00:00Z,http://www.wikidata.org/entity/Q12078254
