person,personLabel,value,valueLabel,Born,Mom
http://www.wikidata.org/entity/Q11968923,Finn Seyersted,http://www.wikidata.org/entity/Q1771785,Candidate of Law,1915-12-29T00:00:00Z,http://www.wikidata.org/entity/Q11964563
http://www.wikidata.org/entity/Q5341885,Edward Bickersteth,http://www.wikidata.org/entity/Q1984623,Divinitatis Doctor,1814-10-23T00:00:00Z,http://www.wikidata.org/entity/Q76349980
http://www.wikidata.org/entity/Q231690,Bhimrao Ramji Ambedkar,http://www.wikidata.org/entity/Q2248352,Doctor of Science,1891-04-14T00:00:00Z,http://www.wikidata.org/entity/Q31738078
http://www.wikidata.org/entity/Q8018467,William Sinclair,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1850-01-01T00:00:00Z,http://www.wikidata.org/entity/Q76192013
http://www.wikidata.org/entity/Q75616435,Edmond Henry Stuart Nugent,http://www.wikidata.org/entity/Q2091008,Master of Arts,1849-01-26T00:00:00Z,http://www.wikidata.org/entity/Q75616434
http://www.wikidata.org/entity/Q18534999,William Taylour,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1904-01-03T00:00:00Z,http://www.wikidata.org/entity/Q43380479
http://www.wikidata.org/entity/Q23062216,"John Pelham, 7. Earl of Yarborough",http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1920-06-02T00:00:00Z,http://www.wikidata.org/entity/Q75296401
http://www.wikidata.org/entity/Q75278418,George Bennet,http://www.wikidata.org/entity/Q2091008,Master of Arts,1925-03-12T00:00:00Z,http://www.wikidata.org/entity/Q75278400
http://www.wikidata.org/entity/Q6228002,Hans Wachtmeister the elder,http://www.wikidata.org/entity/Q1771785,Candidate of Law,1793-07-31T00:00:00Z,http://www.wikidata.org/entity/Q110303174
http://www.wikidata.org/entity/Q7787223,Thomas Aylmer Pearson Hackett,http://www.wikidata.org/entity/Q1984623,Divinitatis Doctor,1854-12-05T00:00:00Z,http://www.wikidata.org/entity/Q76230503
http://www.wikidata.org/entity/Q21946774,Fitzroy John Fitzwygram,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1827-04-16T00:00:00Z,http://www.wikidata.org/entity/Q21556765
http://www.wikidata.org/entity/Q1783022,Elin Ørjasæter,http://www.wikidata.org/entity/Q1776670,Candidatus philologiæ,1962-02-25T00:00:00Z,http://www.wikidata.org/entity/Q3354048
http://www.wikidata.org/entity/Q103345546,John Fane Vernon,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1849-07-05T00:00:00Z,http://www.wikidata.org/entity/Q76244753
http://www.wikidata.org/entity/Q5552429,Gustaf Fridolf Almquist,http://www.wikidata.org/entity/Q1772363,Q1772363,1814-10-31T00:00:00Z,http://www.wikidata.org/entity/Q64825329
http://www.wikidata.org/entity/Q18911988,William Warren Vernon,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1834-01-01T00:00:00Z,http://www.wikidata.org/entity/Q75282111
http://www.wikidata.org/entity/Q75672609,Richard Neville Somerville,http://www.wikidata.org/entity/Q2091008,Master of Arts,1864-08-17T00:00:00Z,http://www.wikidata.org/entity/Q75654143
http://www.wikidata.org/entity/Q22021832,William Mercer,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1811-01-01T00:00:00Z,http://www.wikidata.org/entity/Q105800887
http://www.wikidata.org/entity/Q75850677,"Thomas Leopold McClintock-Bunbury, 3rd Baron Rathdonnell",http://www.wikidata.org/entity/Q2091008,Master of Arts,1881-02-03T00:00:00Z,http://www.wikidata.org/entity/Q75850674
http://www.wikidata.org/entity/Q17274257,Sidney Godolphin Osborne,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1808-02-05T00:00:00Z,http://www.wikidata.org/entity/Q75251117
http://www.wikidata.org/entity/Q21548833,"Thomas Taylour, 6. Marquess of Headfort",http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1932-01-20T00:00:00Z,http://www.wikidata.org/entity/Q75339580
http://www.wikidata.org/entity/Q5786841,Bo Hammarskjöld,http://www.wikidata.org/entity/Q1771785,Candidate of Law,1891-06-03T00:00:00Z,http://www.wikidata.org/entity/Q19591937
http://www.wikidata.org/entity/Q26205259,"Christopher Bailey, 5th Baron Glanusk",http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1942-03-18T00:00:00Z,http://www.wikidata.org/entity/Q75946318
http://www.wikidata.org/entity/Q75950527,"Sir William Joshua Goulding, 1st Baronet",http://www.wikidata.org/entity/Q2091008,Master of Arts,1856-03-07T00:00:00Z,http://www.wikidata.org/entity/Q75950526
http://www.wikidata.org/entity/Q6077653,Sven Romanus,http://www.wikidata.org/entity/Q1771785,Candidate of Law,1906-01-19T00:00:00Z,http://www.wikidata.org/entity/Q99880035
http://www.wikidata.org/entity/Q441594,Ida Auken,http://www.wikidata.org/entity/Q1787885,Cand.theol.,1978-04-22T00:00:00Z,http://www.wikidata.org/entity/Q261120
http://www.wikidata.org/entity/Q8018467,William Sinclair,http://www.wikidata.org/entity/Q2085288,Bachelor der Theologie,1850-01-01T00:00:00Z,http://www.wikidata.org/entity/Q76192013
http://www.wikidata.org/entity/Q21548833,"Thomas Taylour, 6. Marquess of Headfort",http://www.wikidata.org/entity/Q2091008,Master of Arts,1932-01-20T00:00:00Z,http://www.wikidata.org/entity/Q75339580
http://www.wikidata.org/entity/Q75721793,Sir Samuel Clayton,http://www.wikidata.org/entity/Q2091008,Master of Arts,1918-01-08T00:00:00Z,http://www.wikidata.org/entity/Q76253875
http://www.wikidata.org/entity/Q11971860,George Wegner Paus,http://www.wikidata.org/entity/Q1771785,Candidate of Law,1882-10-14T00:00:00Z,http://www.wikidata.org/entity/Q17120111
http://www.wikidata.org/entity/Q930758,Carl von Rosenstein,http://www.wikidata.org/entity/Q2085288,Bachelor der Theologie,1766-05-13T00:00:00Z,http://www.wikidata.org/entity/Q19577827
http://www.wikidata.org/entity/Q434971,Dorothea Klumpke,http://www.wikidata.org/entity/Q2248352,Doctor of Science,1861-08-09T00:00:00Z,http://www.wikidata.org/entity/Q19507600
http://www.wikidata.org/entity/Q261120,Margrete Auken,http://www.wikidata.org/entity/Q1787885,Cand.theol.,1945-01-06T00:00:00Z,http://www.wikidata.org/entity/Q6416061
http://www.wikidata.org/entity/Q17703881,Neva Goodwin,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1944-01-01T00:00:00Z,http://www.wikidata.org/entity/Q106427756
http://www.wikidata.org/entity/Q22965897,Maxwell Hall,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1845-01-01T00:00:00Z,http://www.wikidata.org/entity/Q92824488
http://www.wikidata.org/entity/Q21705482,"Marcus Pelham, 6. Earl of Yarborough",http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1893-06-30T00:00:00Z,http://www.wikidata.org/entity/Q6757137
http://www.wikidata.org/entity/Q7345018,Robert Gwynn,http://www.wikidata.org/entity/Q2085288,Bachelor der Theologie,1877-04-26T00:00:00Z,http://www.wikidata.org/entity/Q76034900
http://www.wikidata.org/entity/Q34049979,Andrew Crummy,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1959-11-14T00:00:00Z,http://www.wikidata.org/entity/Q5702095
http://www.wikidata.org/entity/Q6228008,Hans Wachtmeister the younger,http://www.wikidata.org/entity/Q1771785,Candidate of Law,1828-02-23T00:00:00Z,http://www.wikidata.org/entity/Q50318617
http://www.wikidata.org/entity/Q16943892,Arthur Sidgwick,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1840-04-09T00:00:00Z,http://www.wikidata.org/entity/Q76351787
http://www.wikidata.org/entity/Q21714339,William Hay Macdowall Hunter Aitken,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1841-09-21T00:00:00Z,http://www.wikidata.org/entity/Q75995100
http://www.wikidata.org/entity/Q892,J. R. R. Tolkien,http://www.wikidata.org/entity/Q2091008,Master of Arts,1892-01-03T00:00:00Z,http://www.wikidata.org/entity/Q10322682
http://www.wikidata.org/entity/Q21621026,"James Chichester, Earl of Belfast",http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1990-11-19T00:00:00Z,http://www.wikidata.org/entity/Q75619660
http://www.wikidata.org/entity/Q15963966,Philip Henry Bagenal,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1850-06-18T00:00:00Z,http://www.wikidata.org/entity/Q75641213
http://www.wikidata.org/entity/Q64685787,Sir Henry Denis Le Marchant,http://www.wikidata.org/entity/Q2091008,Master of Arts,1839-02-15T00:00:00Z,http://www.wikidata.org/entity/Q76053043
http://www.wikidata.org/entity/Q34049979,Andrew Crummy,http://www.wikidata.org/entity/Q2091008,Master of Arts,1959-11-14T00:00:00Z,http://www.wikidata.org/entity/Q5702095
http://www.wikidata.org/entity/Q75513160,Colin Carnegy,http://www.wikidata.org/entity/Q2091008,Master of Arts,1942-08-16T00:00:00Z,http://www.wikidata.org/entity/Q76286193
http://www.wikidata.org/entity/Q17986809,Barbara Waxler,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1931-09-20T00:00:00Z,http://www.wikidata.org/entity/Q17984059
http://www.wikidata.org/entity/Q21166382,"Sir Frederick Francis Baker, 2nd Baronet",http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1772-05-13T00:00:00Z,http://www.wikidata.org/entity/Q75418241
http://www.wikidata.org/entity/Q75286417,Cholmeley Austen-Leigh,http://www.wikidata.org/entity/Q2091008,Master of Arts,1829-09-26T00:00:00Z,http://www.wikidata.org/entity/Q75436257
http://www.wikidata.org/entity/Q21556657,John Dunville,http://www.wikidata.org/entity/Q2091008,Master of Arts,1866-01-01T00:00:00Z,http://www.wikidata.org/entity/Q75757044
http://www.wikidata.org/entity/Q44674631,"Sir John Horsbrugh-Porter, 2nd Baronet",http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1871-07-18T00:00:00Z,http://www.wikidata.org/entity/Q76031581
http://www.wikidata.org/entity/Q16180855,Knut Brundtland,http://www.wikidata.org/entity/Q1771785,Candidate of Law,1961-07-17T00:00:00Z,http://www.wikidata.org/entity/Q133009
http://www.wikidata.org/entity/Q64224965,Marie Sophie Hingst,http://www.wikidata.org/entity/Q2091008,Master of Arts,1987-10-20T00:00:00Z,http://www.wikidata.org/entity/Q65966622
http://www.wikidata.org/entity/Q231690,Bhimrao Ramji Ambedkar,http://www.wikidata.org/entity/Q2091008,Master of Arts,1891-04-14T00:00:00Z,http://www.wikidata.org/entity/Q31738078
http://www.wikidata.org/entity/Q73691376,Arthur Charles Devas,http://www.wikidata.org/entity/Q2091008,Master of Arts,1843-07-06T00:00:00Z,http://www.wikidata.org/entity/Q73679385
http://www.wikidata.org/entity/Q57665,Jens Stoltenberg,http://www.wikidata.org/entity/Q1796114,Cand.oecon.,1959-03-16T00:00:00Z,http://www.wikidata.org/entity/Q443969
http://www.wikidata.org/entity/Q21849765,Stian Lemmer,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1986-07-12T00:00:00Z,http://www.wikidata.org/entity/Q21850011
http://www.wikidata.org/entity/Q14945469,Henry Villiers,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1813-01-04T00:00:00Z,http://www.wikidata.org/entity/Q56611689
http://www.wikidata.org/entity/Q19976646,Gabriel Andreas Kiellander,http://www.wikidata.org/entity/Q1771785,Candidate of Law,1779-04-13T00:00:00Z,http://www.wikidata.org/entity/Q110043822
http://www.wikidata.org/entity/Q170294,"Prinz Richard, Herzog zu Gloucester",http://www.wikidata.org/entity/Q2091008,Master of Arts,1944-08-26T00:00:00Z,http://www.wikidata.org/entity/Q246915
http://www.wikidata.org/entity/Q18222222,Stefan Hein,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1984-01-01T00:00:00Z,http://www.wikidata.org/entity/Q41159092
http://www.wikidata.org/entity/Q43918160,Doria Ragland,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1956-09-22T00:00:00Z,http://www.wikidata.org/entity/Q105906291
http://www.wikidata.org/entity/Q63343905,Tytti Suojanen,http://www.wikidata.org/entity/Q2091008,Master of Arts,1969-04-23T00:00:00Z,http://www.wikidata.org/entity/Q20913039
http://www.wikidata.org/entity/Q64150374,"Francis Robert Eden, 6th Baron Henley",http://www.wikidata.org/entity/Q2091008,Master of Arts,1877-04-11T00:00:00Z,http://www.wikidata.org/entity/Q75823417
http://www.wikidata.org/entity/Q10853588,Kamala Harris,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1964-10-20T00:00:00Z,http://www.wikidata.org/entity/Q60844968
http://www.wikidata.org/entity/Q5782860,Sven Hagströmer,http://www.wikidata.org/entity/Q1771785,Candidate of Law,1877-01-29T00:00:00Z,http://www.wikidata.org/entity/Q99836020
http://www.wikidata.org/entity/Q17113755,Helge Waal,http://www.wikidata.org/entity/Q1772367,Candidate of Medicine,1940-04-24T00:00:00Z,http://www.wikidata.org/entity/Q1779408
http://www.wikidata.org/entity/Q18911757,Henry George Willink,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1851-07-10T00:00:00Z,http://www.wikidata.org/entity/Q43738586
http://www.wikidata.org/entity/Q27835039,Richard Babington,http://www.wikidata.org/entity/Q2091008,Master of Arts,1869-02-04T00:00:00Z,http://www.wikidata.org/entity/Q75712243
http://www.wikidata.org/entity/Q38916993,Waller de Montmorency,http://www.wikidata.org/entity/Q2091008,Master of Arts,1841-09-29T00:00:00Z,http://www.wikidata.org/entity/Q75711350
http://www.wikidata.org/entity/Q12315250,Hans Bohr,http://www.wikidata.org/entity/Q1772367,Candidate of Medicine,1918-04-07T00:00:00Z,http://www.wikidata.org/entity/Q22231147
http://www.wikidata.org/entity/Q26215688,"Robin Neville, 10th Baron Braybrooke",http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1932-01-29T00:00:00Z,http://www.wikidata.org/entity/Q75270744
http://www.wikidata.org/entity/Q34253,Linus Torvalds,http://www.wikidata.org/entity/Q2628227,Doktor der Wissenschaft,1969-12-28T00:00:00Z,http://www.wikidata.org/entity/Q11905068
http://www.wikidata.org/entity/Q7526946,George Wheler,http://www.wikidata.org/entity/Q2091008,Master of Arts,1651-01-20T00:00:00Z,http://www.wikidata.org/entity/Q76329486
http://www.wikidata.org/entity/Q2485795,Oscar Alin,http://www.wikidata.org/entity/Q2628227,Doktor der Wissenschaft,1846-12-22T00:00:00Z,http://www.wikidata.org/entity/Q108523639
