person,value,valueLabel,Born,Child
http://www.wikidata.org/entity/Q4681651,http://www.wikidata.org/entity/Q121594,professor,1924-04-06T00:00:00Z,http://www.wikidata.org/entity/Q27537067
http://www.wikidata.org/entity/Q4519313,http://www.wikidata.org/entity/Q121594,professor,1906-12-19T00:00:00Z,http://www.wikidata.org/entity/Q20511435
http://www.wikidata.org/entity/Q4419820,http://www.wikidata.org/entity/Q121594,professor,1916-01-12T00:00:00Z,http://www.wikidata.org/entity/Q4149418
http://www.wikidata.org/entity/Q4247873,http://www.wikidata.org/entity/Q121594,professor,1929-01-10T00:00:00Z,http://www.wikidata.org/entity/Q88251995
http://www.wikidata.org/entity/Q4247873,http://www.wikidata.org/entity/Q121594,professor,1929-01-10T00:00:00Z,http://www.wikidata.org/entity/Q88514032
http://www.wikidata.org/entity/Q6149271,http://www.wikidata.org/entity/Q121594,professor,1952-06-12T00:00:00Z,http://www.wikidata.org/entity/Q24250052
http://www.wikidata.org/entity/Q7178527,http://www.wikidata.org/entity/Q121594,professor,1940-02-06T00:00:00Z,http://www.wikidata.org/entity/Q12025821
http://www.wikidata.org/entity/Q7930156,http://www.wikidata.org/entity/Q121594,professor,1941-02-12T00:00:00Z,http://www.wikidata.org/entity/Q26260844
http://www.wikidata.org/entity/Q9179923,http://www.wikidata.org/entity/Q121594,professor,1904-03-27T00:00:00Z,http://www.wikidata.org/entity/Q3917723
http://www.wikidata.org/entity/Q7423946,http://www.wikidata.org/entity/Q121594,professor,1923-09-05T00:00:00Z,http://www.wikidata.org/entity/Q62572196
http://www.wikidata.org/entity/Q11230425,http://www.wikidata.org/entity/Q121594,professor,1941-08-05T00:00:00Z,http://www.wikidata.org/entity/Q9368204
http://www.wikidata.org/entity/Q9381843,http://www.wikidata.org/entity/Q121594,professor,1934-09-09T00:00:00Z,http://www.wikidata.org/entity/Q48860784
http://www.wikidata.org/entity/Q11015464,http://www.wikidata.org/entity/Q121594,professor,1926-09-26T00:00:00Z,http://www.wikidata.org/entity/Q20521752
http://www.wikidata.org/entity/Q10816903,http://www.wikidata.org/entity/Q121594,professor,1923-01-24T00:00:00Z,http://www.wikidata.org/entity/Q47638867
http://www.wikidata.org/entity/Q9388408,http://www.wikidata.org/entity/Q121594,professor,1925-11-09T00:00:00Z,http://www.wikidata.org/entity/Q11686120
http://www.wikidata.org/entity/Q11865874,http://www.wikidata.org/entity/Q121594,professor,1932-10-25T00:00:00Z,http://www.wikidata.org/entity/Q12042553
http://www.wikidata.org/entity/Q11992728,http://www.wikidata.org/entity/Q121594,professor,1915-05-09T00:00:00Z,http://www.wikidata.org/entity/Q11774414
http://www.wikidata.org/entity/Q11906028,http://www.wikidata.org/entity/Q121594,professor,1925-05-03T00:00:00Z,http://www.wikidata.org/entity/Q12035747
http://www.wikidata.org/entity/Q11792281,http://www.wikidata.org/entity/Q121594,professor,1908-08-16T00:00:00Z,http://www.wikidata.org/entity/Q11767664
http://www.wikidata.org/entity/Q11789653,http://www.wikidata.org/entity/Q121594,professor,1927-05-13T00:00:00Z,http://www.wikidata.org/entity/Q15042012
http://www.wikidata.org/entity/Q13052523,http://www.wikidata.org/entity/Q121594,professor,1902-09-10T00:00:00Z,http://www.wikidata.org/entity/Q28540899
http://www.wikidata.org/entity/Q12278713,http://www.wikidata.org/entity/Q121594,professor,1909-10-21T00:00:00Z,http://www.wikidata.org/entity/Q12272699
http://www.wikidata.org/entity/Q12271577,http://www.wikidata.org/entity/Q121594,professor,1928-10-23T00:00:00Z,http://www.wikidata.org/entity/Q19206420
http://www.wikidata.org/entity/Q12271577,http://www.wikidata.org/entity/Q121594,professor,1928-10-23T00:00:00Z,http://www.wikidata.org/entity/Q90803256
http://www.wikidata.org/entity/Q12288461,http://www.wikidata.org/entity/Q121594,professor,1904-11-02T00:00:00Z,http://www.wikidata.org/entity/Q28055923
http://www.wikidata.org/entity/Q12843206,http://www.wikidata.org/entity/Q121594,professor,1926-06-07T00:00:00Z,http://www.wikidata.org/entity/Q57960011
http://www.wikidata.org/entity/Q12286203,http://www.wikidata.org/entity/Q121594,professor,1939-07-11T00:00:00Z,http://www.wikidata.org/entity/Q12272662
http://www.wikidata.org/entity/Q12044116,http://www.wikidata.org/entity/Q121594,professor,1937-04-09T00:00:00Z,http://www.wikidata.org/entity/Q39185479
http://www.wikidata.org/entity/Q12025899,http://www.wikidata.org/entity/Q121594,professor,1902-05-12T00:00:00Z,http://www.wikidata.org/entity/Q18746147
http://www.wikidata.org/entity/Q12026149,http://www.wikidata.org/entity/Q121594,professor,1937-07-26T00:00:00Z,http://www.wikidata.org/entity/Q17277104
http://www.wikidata.org/entity/Q12023423,http://www.wikidata.org/entity/Q121594,professor,1943-04-28T00:00:00Z,http://www.wikidata.org/entity/Q5646776
http://www.wikidata.org/entity/Q12025624,http://www.wikidata.org/entity/Q121594,professor,1957-09-15T00:00:00Z,http://www.wikidata.org/entity/Q64712014
http://www.wikidata.org/entity/Q13054990,http://www.wikidata.org/entity/Q121594,professor,1956-04-27T00:00:00Z,http://www.wikidata.org/entity/Q20512673
http://www.wikidata.org/entity/Q13054897,http://www.wikidata.org/entity/Q121594,professor,1929-11-22T00:00:00Z,http://www.wikidata.org/entity/Q20514161
http://www.wikidata.org/entity/Q14918620,http://www.wikidata.org/entity/Q121594,professor,1914-11-21T00:00:00Z,http://www.wikidata.org/entity/Q11731748
http://www.wikidata.org/entity/Q14814947,http://www.wikidata.org/entity/Q121594,professor,1935-06-25T00:00:00Z,http://www.wikidata.org/entity/Q20512754
http://www.wikidata.org/entity/Q13053857,http://www.wikidata.org/entity/Q121594,professor,1930-09-13T00:00:00Z,http://www.wikidata.org/entity/Q47489076
http://www.wikidata.org/entity/Q16168597,http://www.wikidata.org/entity/Q121594,professor,1932-10-02T00:00:00Z,http://www.wikidata.org/entity/Q50761671
